executed_script_path,repository_snapshot_path,executed_sha256,repository_sha256,sha256_identical,generation_pass,corrected_source_script_reference,notes
03_output/reviewer_revision_animal_level_20260827/scripts/10_style_match_common.R,06_manuscript_figure_revision/10_style_match_common.R,391ad2c972f3421296d25ce5c2f604d19f38e51af1296e050ea6ee0883d02f87,391ad2c972f3421296d25ce5c2f604d19f38e51af1296e050ea6ee0883d02f87,TRUE,visual_fidelity,,Shared style-fidelity helper sourced by executed later-pass scripts.
03_output/reviewer_revision_animal_level_20260827/scripts/11_style_match_pca.R,06_manuscript_figure_revision/11_style_match_pca.R,ca77cf4a73557e4dd44c60a8ced6e72ab4dc6e68d8afdd4f8ecceb983d220182,ca77cf4a73557e4dd44c60a8ced6e72ab4dc6e68d8afdd4f8ecceb983d220182,TRUE,visual_fidelity,,Style-fidelity pass retained as executed provenance.
03_output/reviewer_revision_animal_level_20260827/scripts/12_style_match_volcano.R,06_manuscript_figure_revision/12_style_match_volcano.R,79ab11745cdbdf13742606a975054fc358d6c897bb1c5d0130a4b8be24b774f9,79ab11745cdbdf13742606a975054fc358d6c897bb1c5d0130a4b8be24b774f9,TRUE,visual_fidelity,,Style-fidelity pass retained as executed provenance.
03_output/reviewer_revision_animal_level_20260827/scripts/13_style_match_rank_abundance.R,06_manuscript_figure_revision/13_style_match_rank_abundance.R,301715d1f30057e9b81c7a646cf2bf56a7b8fc1f6347bd51f0c12817ae01fa12,301715d1f30057e9b81c7a646cf2bf56a7b8fc1f6347bd51f0c12817ae01fa12,TRUE,visual_fidelity,,Style-fidelity pass retained as executed provenance.
03_output/reviewer_revision_animal_level_20260827/scripts/14_style_match_dotplots.R,06_manuscript_figure_revision/14_style_match_dotplots.R,8efcedede7e7b77585e667a6d1ba0c6dfe4b8079c16bf3ea0a5ed0a99fdad9b1,8efcedede7e7b77585e667a6d1ba0c6dfe4b8079c16bf3ea0a5ed0a99fdad9b1,TRUE,visual_fidelity,,Style-fidelity pass retained as executed provenance.
03_output/reviewer_revision_animal_level_20260827/scripts/15_style_match_scatter_heatmap.R,06_manuscript_figure_revision/15_style_match_scatter_heatmap.R,3ce99dd4a45f27f87ccd1ae60dcb99b7a3a5e7e8a254c7fabce29eb0bdfb37a9,3ce99dd4a45f27f87ccd1ae60dcb99b7a3a5e7e8a254c7fabce29eb0bdfb37a9,TRUE,visual_fidelity,,Style-fidelity pass retained as executed provenance.
03_output/reviewer_revision_animal_level_20260827/scripts/16_final_Fig3G_lollipop.R,06_manuscript_figure_revision/16_final_Fig3G_lollipop.R,46bb45199cf9385daef9eea3509cd9537cc11742eeac247182bffeefaa4b90e5,46bb45199cf9385daef9eea3509cd9537cc11742eeac247182bffeefaa4b90e5,TRUE,retained_panel_finalization,Figure3 G,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/17_final_Fig3H_Fig3I.R,06_manuscript_figure_revision/17_final_Fig3H_Fig3I.R,af675b3b4337209035ed1546eb7ffab87e740f624ae87634a8e1187e43a10199,af675b3b4337209035ed1546eb7ffab87e740f624ae87634a8e1187e43a10199,TRUE,retained_panel_finalization,Figure3 H/I,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/18_suppE_secondary_paired_model.R,06_manuscript_figure_revision/18_suppE_secondary_paired_model.R,387e746f60e9ccad1d82e5535fd3c03a98c406ec5291695e9e31853853110642,387e746f60e9ccad1d82e5535fd3c03a98c406ec5291695e9e31853853110642,TRUE,retained_panel_finalization,Supplementary_proteomics E,Explicit corrected_source_script target in the finalized figure manifest.
03_output/reviewer_revision_animal_level_20260827/scripts/19_update_manifests_final.R,06_manuscript_figure_revision/19_update_manifests_final.R,6d9101238c09c76e2fc67a5fc80eba2a67592f74c7fe27e172ce4a527052bb0c,6d9101238c09c76e2fc67a5fc80eba2a67592f74c7fe27e172ce4a527052bb0c,TRUE,retained_panel_finalization,,Executed manifest-update script retained as provenance; finalized manifests remain unmodified.
